date,item,category,price,unit_cost,units_sold,day_of_week
2025-01-03,Blueberry Muffin,Pastry,3.95,1.0,30,Friday
2025-01-03,Avocado Toast,Food,8.5,2.6,25,Friday
2025-01-03,Breakfast Sandwich,Food,7.25,2.4,42,Friday
2025-01-03,Bagel & Cream Cheese,Food,4.5,1.3,30,Friday
2025-01-03,Granola Bowl,Food,6.75,1.9,18,Friday
2025-01-03,Bottled Water,Other,2.25,0.35,22,Friday
2025-01-04,Drip Coffee,Coffee,3.25,0.55,115,Saturday
2025-01-04,Latte,Coffee,4.75,1.1,98,Saturday
2025-01-04,Cappuccino,Coffee,4.5,1.05,55,Saturday
2025-01-04,Cold Brew,Coffee,4.95,1.2,66,Saturday
2025-01-04,Espresso Shot,Coffee,2.75,0.45,30,Saturday
2025-01-04,Matcha Latte,Tea,5.25,1.6,37,Saturday
2025-01-04,Chai Latte,Tea,4.95,1.15,39,Saturday
2025-01-04,Iced Tea,Tea,3.5,0.5,25,Saturday
2025-01-04,Croissant,Pastry,3.75,1.1,58,Saturday
2025-01-04,Blueberry Muffin,Pastry,3.95,1.0,35,Saturday
2025-01-04,Avocado Toast,Food,8.5,2.6,25,Saturday
2025-01-04,Breakfast Sandwich,Food,7.25,2.4,54,Saturday
2025-01-04,Bagel & Cream Cheese,Food,4.5,1.3,40,Saturday
2025-01-04,Granola Bowl,Food,6.75,1.9,19,Saturday
2025-01-04,Bottled Water,Other,2.25,0.35,26,Saturday
2025-01-05,Drip Coffee,Coffee,3.25,0.55,110,Sunday
2025-01-05,Latte,Coffee,4.75,1.1,76,Sunday
2025-01-05,Cappuccino,Coffee,4.5,1.05,36,Sunday
2025-01-05,Cold Brew,Coffee,4.95,1.2,57,Sunday
2025-01-05,Espresso Shot,Coffee,2.75,0.45,31,Sunday
2025-01-05,Matcha Latte,Tea,5.25,1.6,27,Sunday
2025-01-05,Chai Latte,Tea,4.95,1.15,31,Sunday
2025-01-05,Iced Tea,Tea,3.5,0.5,23,Sunday
2025-01-05,Croissant,Pastry,3.75,1.1,37,Sunday
2025-01-05,Blueberry Muffin,Pastry,3.95,1.0,36,Sunday
2025-01-05,Avocado Toast,Food,8.5,2.6,26,Sunday
2025-01-05,Breakfast Sandwich,Food,7.25,2.4,53,Sunday
2025-01-05,Bagel & Cream Cheese,Food,4.5,1.3,31,Sunday
2025-01-05,Granola Bowl,Food,6.75,1.9,14,Sunday
2025-01-05,Bottled Water,Other,2.25,0.35,18,Sunday
2025-01-06,Drip Coffee,Coffee,3.25,0.55,73,Monday
2025-01-06,Latte,Coffee,4.75,1.1,74,Monday
2025-01-06,Cappuccino,Coffee,4.5,1.05,35,Monday
2025-01-06,Cold Brew,Coffee,4.95,1.2,52,Monday
2025-01-06,Espresso Shot,Coffee,2.75,0.45,26,Monday
2025-01-06,Matcha Latte,Tea,5.25,1.6,26,Monday
2025-01-06,Chai Latte,Tea,4.95,1.15,26,Monday
2025-01-06,Iced Tea,Tea,3.5,0.5,15,Monday
2025-01-06,Croissant,Pastry,3.75,1.1,29,Monday
2025-01-06,Blueberry Muffin,Pastry,3.95,1.0,27,Monday
2025-01-06,Avocado Toast,Food,8.5,2.6,22,Monday
2025-01-06,Breakfast Sandwich,Food,7.25,2.4,41,Monday
2025-01-06,Bagel & Cream Cheese,Food,4.5,1.3,25,Monday
2025-01-06,Granola Bowl,Food,6.75,1.9,14,Monday
2025-01-06,Bottled Water,Other,2.25,0.35,17,Monday
2025-01-07,Drip Coffee,Coffee,3.25,0.55,91,Tuesday
2025-01-07,Latte,Coffee,4.75,1.1,74,Tuesday
2025-01-07,Cappuccino,Coffee,4.5,1.05,39,Tuesday
2025-01-07,Cold Brew,Coffee,4.95,1.2,46,Tuesday
2025-01-07,Espresso Shot,Coffee,2.75,0.45,26,Tuesday
2025-01-07,Matcha Latte,Tea,5.25,1.6,30,Tuesday
2025-01-07,Chai Latte,Tea,4.95,1.15,31,Tuesday
2025-01-07,Iced Tea,Tea,3.5,0.5,19,Tuesday
2025-01-07,Croissant,Pastry,3.75,1.1,41,Tuesday
2025-01-07,Blueberry Muffin,Pastry,3.95,1.0,27,Tuesday
2025-01-07,Avocado Toast,Food,8.5,2.6,25,Tuesday
2025-01-07,Breakfast Sandwich,Food,7.25,2.4,37,Tuesday
2025-01-07,Bagel & Cream Cheese,Food,4.5,1.3,23,Tuesday
2025-01-07,Granola Bowl,Food,6.75,1.9,11,Tuesday
2025-01-07,Bottled Water,Other,2.25,0.35,17,Tuesday
2025-01-08,Drip Coffee,Coffee,3.25,0.55,100,Wednesday
2025-01-08,Latte,Coffee,4.75,1.1,77,Wednesday
2025-01-08,Cappuccino,Coffee,4.5,1.05,43,Wednesday
2025-01-08,Cold Brew,Coffee,4.95,1.2,39,Wednesday
2025-01-08,Espresso Shot,Coffee,2.75,0.45,27,Wednesday
2025-01-08,Matcha Latte,Tea,5.25,1.6,32,Wednesday
2025-01-08,Chai Latte,Tea,4.95,1.15,26,Wednesday
2025-01-08,Iced Tea,Tea,3.5,0.5,18,Wednesday
2025-01-08,Croissant,Pastry,3.75,1.1,35,Wednesday
2025-01-08,Blueberry Muffin,Pastry,3.95,1.0,36,Wednesday
2025-01-08,Avocado Toast,Food,8.5,2.6,19,Wednesday
2025-01-08,Breakfast Sandwich,Food,7.25,2.4,36,Wednesday
2025-01-08,Bagel & Cream Cheese,Food,4.5,1.3,30,Wednesday
2025-01-08,Granola Bowl,Food,6.75,1.9,13,Wednesday
2025-01-08,Bottled Water,Other,2.25,0.35,17,Wednesday
2025-01-09,Drip Coffee,Coffee,3.25,0.55,90,Thursday
2025-01-09,Latte,Coffee,4.75,1.1,63,Thursday
2025-01-09,Cappuccino,Coffee,4.5,1.05,43,Thursday
2025-01-09,Cold Brew,Coffee,4.95,1.2,49,Thursday
2025-01-09,Espresso Shot,Coffee,2.75,0.45,29,Thursday
2025-01-09,Matcha Latte,Tea,5.25,1.6,32,Thursday
2025-01-09,Chai Latte,Tea,4.95,1.15,37,Thursday
2025-01-09,Iced Tea,Tea,3.5,0.5,22,Thursday
2025-01-09,Croissant,Pastry,3.75,1.1,43,Thursday
2025-01-09,Blueberry Muffin,Pastry,3.95,1.0,27,Thursday
2025-01-09,Avocado Toast,Food,8.5,2.6,23,Thursday
2025-01-09,Breakfast Sandwich,Food,7.25,2.4,41,Thursday
2025-01-09,Bagel & Cream Cheese,Food,4.5,1.3,33,Thursday
2025-01-09,Granola Bowl,Food,6.75,1.9,12,Thursday
2025-01-09,Bottled Water,Other,2.25,0.35,21,Thursday
2025-01-10,Drip Coffee,Coffee,3.25,0.55,105,Friday
2025-01-10,Latte,Coffee,4.75,1.1,95,Friday
2025-01-10,Cappuccino,Coffee,4.5,1.05,50,Friday
2025-01-10,Cold Brew,Coffee,4.95,1.2,64,Friday
2025-01-10,Espresso Shot,Coffee,2.75,0.45,27,Friday
2025-01-10,Matcha Latte,Tea,5.25,1.6,29,Friday
2025-01-10,Chai Latte,Tea,4.95,1.15,33,Friday
2025-01-10,Iced Tea,Tea,3.5,0.5,22,Friday
2025-01-10,Croissant,Pastry,3.75,1.1,50,Friday
2025-01-10,Blueberry Muffin,Pastry,3.95,1.0,32,Friday
2025-01-10,Avocado Toast,Food,8.5,2.6,26,Friday
2025-01-10,Breakfast Sandwich,Food,7.25,2.4,35,Friday
2025-01-10,Bagel & Cream Cheese,Food,4.5,1.3,28,Friday
2025-01-10,Granola Bowl,Food,6.75,1.9,17,Friday
2025-01-10,Bottled Water,Other,2.25,0.35,23,Friday
2025-01-11,Drip Coffee,Coffee,3.25,0.55,130,Saturday
2025-01-11,Latte,Coffee,4.75,1.1,91,Saturday
2025-01-11,Cappuccino,Coffee,4.5,1.05,45,Saturday
2025-01-11,Cold Brew,Coffee,4.95,1.2,75,Saturday
2025-01-11,Espresso Shot,Coffee,2.75,0.45,35,Saturday
2025-01-11,Matcha Latte,Tea,5.25,1.6,41,Saturday
2025-01-11,Chai Latte,Tea,4.95,1.15,33,Saturday
2025-01-11,Iced Tea,Tea,3.5,0.5,30,Saturday
2025-01-11,Croissant,Pastry,3.75,1.1,46,Saturday
2025-01-11,Blueberry Muffin,Pastry,3.95,1.0,42,Saturday
2025-01-11,Avocado Toast,Food,8.5,2.6,33,Saturday
2025-01-11,Breakfast Sandwich,Food,7.25,2.4,53,Saturday
2025-01-11,Bagel & Cream Cheese,Food,4.5,1.3,35,Saturday
2025-01-11,Granola Bowl,Food,6.75,1.9,23,Saturday
2025-01-11,Bottled Water,Other,2.25,0.35,24,Saturday
2025-01-12,Drip Coffee,Coffee,3.25,0.55,90,Sunday
2025-01-12,Latte,Coffee,4.75,1.1,78,Sunday
2025-01-12,Cappuccino,Coffee,4.5,1.05,52,Sunday
2025-01-12,Cold Brew,Coffee,4.95,1.2,61,Sunday
2025-01-12,Espresso Shot,Coffee,2.75,0.45,29,Sunday
2025-01-12,Matcha Latte,Tea,5.25,1.6,38,Sunday
2025-01-12,Chai Latte,Tea,4.95,1.15,29,Sunday
2025-01-12,Iced Tea,Tea,3.5,0.5,17,Sunday
2025-01-12,Croissant,Pastry,3.75,1.1,40,Sunday
2025-01-12,Blueberry Muffin,Pastry,3.95,1.0,34,Sunday
2025-01-12,Avocado Toast,Food,8.5,2.6,22,Sunday
2025-01-12,Breakfast Sandwich,Food,7.25,2.4,46,Sunday
2025-01-12,Bagel & Cream Cheese,Food,4.5,1.3,31,Sunday
2025-01-12,Granola Bowl,Food,6.75,1.9,14,Sunday
2025-01-12,Bottled Water,Other,2.25,0.35,21,Sunday
2025-01-13,Drip Coffee,Coffee,3.25,0.55,79,Monday
2025-01-13,Latte,Coffee,4.75,1.1,55,Monday
2025-01-13,Cappuccino,Coffee,4.5,1.05,40,Monday
2025-01-13,Cold Brew,Coffee,4.95,1.2,52,Monday
2025-01-13,Espresso Shot,Coffee,2.75,0.45,22,Monday
2025-01-13,Matcha Latte,Tea,5.25,1.6,30,Monday
2025-01-13,Chai Latte,Tea,4.95,1.15,28,Monday
2025-01-13,Iced Tea,Tea,3.5,0.5,18,Monday
2025-01-13,Croissant,Pastry,3.75,1.1,35,Monday
2025-01-13,Blueberry Muffin,Pastry,3.95,1.0,32,Monday
2025-01-13,Avocado Toast,Food,8.5,2.6,19,Monday
2025-01-13,Breakfast Sandwich,Food,7.25,2.4,38,Monday
2025-01-13,Bagel & Cream Cheese,Food,4.5,1.3,25,Monday
2025-01-13,Granola Bowl,Food,6.75,1.9,17,Monday
2025-01-13,Bottled Water,Other,2.25,0.35,13,Monday
2025-01-14,Drip Coffee,Coffee,3.25,0.55,87,Tuesday
2025-01-14,Latte,Coffee,4.75,1.1,64,Tuesday
2025-01-14,Cappuccino,Coffee,4.5,1.05,38,Tuesday
2025-01-14,Cold Brew,Coffee,4.95,1.2,64,Tuesday
2025-01-14,Espresso Shot,Coffee,2.75,0.45,24,Tuesday
2025-01-14,Matcha Latte,Tea,5.25,1.6,36,Tuesday
2025-01-14,Chai Latte,Tea,4.95,1.15,25,Tuesday
2025-01-14,Iced Tea,Tea,3.5,0.5,20,Tuesday
2025-01-14,Croissant,Pastry,3.75,1.1,31,Tuesday
2025-01-14,Blueberry Muffin,Pastry,3.95,1.0,26,Tuesday
2025-01-14,Avocado Toast,Food,8.5,2.6,21,Tuesday
2025-01-14,Breakfast Sandwich,Food,7.25,2.4,35,Tuesday
2025-01-14,Bagel & Cream Cheese,Food,4.5,1.3,25,Tuesday
2025-01-14,Granola Bowl,Food,6.75,1.9,10,Tuesday
2025-01-14,Bottled Water,Other,2.25,0.35,21,Tuesday
2025-01-15,Drip Coffee,Coffee,3.25,0.55,83,Wednesday
2025-01-15,Latte,Coffee,4.75,1.1,85,Wednesday
2025-01-15,Cappuccino,Coffee,4.5,1.05,35,Wednesday
2025-01-15,Cold Brew,Coffee,4.95,1.2,57,Wednesday
2025-01-15,Espresso Shot,Coffee,2.75,0.45,34,Wednesday
2025-01-15,Matcha Latte,Tea,5.25,1.6,27,Wednesday
2025-01-15,Chai Latte,Tea,4.95,1.15,23,Wednesday
2025-01-15,Iced Tea,Tea,3.5,0.5,19,Wednesday
2025-01-15,Croissant,Pastry,3.75,1.1,37,Wednesday
2025-01-15,Blueberry Muffin,Pastry,3.95,1.0,32,Wednesday
2025-01-15,Avocado Toast,Food,8.5,2.6,25,Wednesday
2025-01-15,Breakfast Sandwich,Food,7.25,2.4,37,Wednesday
2025-01-15,Bagel & Cream Cheese,Food,4.5,1.3,21,Wednesday
2025-01-15,Granola Bowl,Food,6.75,1.9,13,Wednesday
2025-01-15,Bottled Water,Other,2.25,0.35,21,Wednesday
2025-01-16,Drip Coffee,Coffee,3.25,0.55,94,Thursday
2025-01-16,Latte,Coffee,4.75,1.1,56,Thursday
2025-01-16,Cappuccino,Coffee,4.5,1.05,42,Thursday
2025-01-16,Cold Brew,Coffee,4.95,1.2,67,Thursday
2025-01-16,Espresso Shot,Coffee,2.75,0.45,33,Thursday
2025-01-16,Matcha Latte,Tea,5.25,1.6,34,Thursday
2025-01-16,Chai Latte,Tea,4.95,1.15,30,Thursday
2025-01-16,Iced Tea,Tea,3.5,0.5,18,Thursday
2025-01-16,Croissant,Pastry,3.75,1.1,33,Thursday
2025-01-16,Blueberry Muffin,Pastry,3.95,1.0,32,Thursday
2025-01-16,Avocado Toast,Food,8.5,2.6,24,Thursday
2025-01-16,Breakfast Sandwich,Food,7.25,2.4,43,Thursday
2025-01-16,Bagel & Cream Cheese,Food,4.5,1.3,26,Thursday
2025-01-16,Granola Bowl,Food,6.75,1.9,13,Thursday
2025-01-16,Bottled Water,Other,2.25,0.35,17,Thursday
2025-01-17,Drip Coffee,Coffee,3.25,0.55,84,Friday
2025-01-17,Latte,Coffee,4.75,1.1,87,Friday
2025-01-17,Cappuccino,Coffee,4.5,1.05,33,Friday
2025-01-17,Cold Brew,Coffee,4.95,1.2,61,Friday
2025-01-17,Espresso Shot,Coffee,2.75,0.45,30,Friday
2025-01-17,Matcha Latte,Tea,5.25,1.6,41,Friday
2025-01-17,Chai Latte,Tea,4.95,1.15,32,Friday
2025-01-17,Iced Tea,Tea,3.5,0.5,26,Friday
2025-01-17,Croissant,Pastry,3.75,1.1,38,Friday
2025-01-17,Blueberry Muffin,Pastry,3.95,1.0,31,Friday
2025-01-17,Avocado Toast,Food,8.5,2.6,23,Friday
2025-01-17,Breakfast Sandwich,Food,7.25,2.4,52,Friday
2025-01-17,Bagel & Cream Cheese,Food,4.5,1.3,33,Friday
2025-01-17,Granola Bowl,Food,6.75,1.9,17,Friday
2025-01-17,Bottled Water,Other,2.25,0.35,29,Friday
2025-01-18,Drip Coffee,Coffee,3.25,0.55,110,Saturday
2025-01-18,Latte,Coffee,4.75,1.1,98,Saturday
2025-01-18,Cappuccino,Coffee,4.5,1.05,54,Saturday
2025-01-18,Cold Brew,Coffee,4.95,1.2,70,Saturday
2025-01-18,Espresso Shot,Coffee,2.75,0.45,42,Saturday
2025-01-18,Matcha Latte,Tea,5.25,1.6,46,Saturday
2025-01-18,Chai Latte,Tea,4.95,1.15,30,Saturday
2025-01-18,Iced Tea,Tea,3.5,0.5,25,Saturday
2025-01-18,Croissant,Pastry,3.75,1.1,48,Saturday
2025-01-18,Blueberry Muffin,Pastry,3.95,1.0,43,Saturday
2025-01-18,Avocado Toast,Food,8.5,2.6,24,Saturday
2025-01-18,Breakfast Sandwich,Food,7.25,2.4,36,Saturday
2025-01-18,Bagel & Cream Cheese,Food,4.5,1.3,26,Saturday
2025-01-18,Granola Bowl,Food,6.75,1.9,18,Saturday
2025-01-18,Bottled Water,Other,2.25,0.35,23,Saturday
2025-01-19,Drip Coffee,Coffee,3.25,0.55,97,Sunday
2025-01-19,Latte,Coffee,4.75,1.1,70,Sunday
2025-01-19,Cappuccino,Coffee,4.5,1.05,38,Sunday
2025-01-19,Cold Brew,Coffee,4.95,1.2,46,Sunday
2025-01-19,Espresso Shot,Coffee,2.75,0.45,29,Sunday
2025-01-19,Matcha Latte,Tea,5.25,1.6,34,Sunday
2025-01-19,Chai Latte,Tea,4.95,1.15,34,Sunday
2025-01-19,Iced Tea,Tea,3.5,0.5,24,Sunday
2025-01-19,Croissant,Pastry,3.75,1.1,38,Sunday
2025-01-19,Blueberry Muffin,Pastry,3.95,1.0,38,Sunday
2025-01-19,Avocado Toast,Food,8.5,2.6,24,Sunday
2025-01-19,Breakfast Sandwich,Food,7.25,2.4,38,Sunday
2025-01-19,Bagel & Cream Cheese,Food,4.5,1.3,27,Sunday
2025-01-19,Granola Bowl,Food,6.75,1.9,14,Sunday
2025-01-19,Bottled Water,Other,2.25,0.35,15,Sunday
2025-01-20,Drip Coffee,Coffee,3.25,0.55,82,Monday
2025-01-20,Latte,Coffee,4.75,1.1,68,Monday
2025-01-20,Cappuccino,Coffee,4.5,1.05,36,Monday
2025-01-20,Cold Brew,Coffee,4.95,1.2,48,Monday
2025-01-20,Espresso Shot,Coffee,2.75,0.45,25,Monday
2025-01-20,Matcha Latte,Tea,5.25,1.6,34,Monday
2025-01-20,Chai Latte,Tea,4.95,1.15,27,Monday
2025-01-20,Iced Tea,Tea,3.5,0.5,18,Monday
2025-01-20,Croissant,Pastry,3.75,1.1,31,Monday
2025-01-20,Blueberry Muffin,Pastry,3.95,1.0,28,Monday
2025-01-20,Avocado Toast,Food,8.5,2.6,18,Monday
2025-01-20,Breakfast Sandwich,Food,7.25,2.4,36,Monday
2025-01-20,Bagel & Cream Cheese,Food,4.5,1.3,25,Monday
2025-01-20,Granola Bowl,Food,6.75,1.9,16,Monday
2025-01-20,Bottled Water,Other,2.25,0.35,19,Monday
2025-01-21,Drip Coffee,Coffee,3.25,0.55,91,Tuesday
2025-01-21,Latte,Coffee,4.75,1.1,61,Tuesday
2025-01-21,Cappuccino,Coffee,4.5,1.05,41,Tuesday
2025-01-21,Cold Brew,Coffee,4.95,1.2,45,Tuesday
2025-01-21,Espresso Shot,Coffee,2.75,0.45,25,Tuesday
2025-01-21,Matcha Latte,Tea,5.25,1.6,30,Tuesday
2025-01-21,Chai Latte,Tea,4.95,1.15,24,Tuesday
2025-01-21,Iced Tea,Tea,3.5,0.5,24,Tuesday
2025-01-21,Croissant,Pastry,3.75,1.1,36,Tuesday
2025-01-21,Blueberry Muffin,Pastry,3.95,1.0,22,Tuesday
2025-01-21,Avocado Toast,Food,8.5,2.6,22,Tuesday
2025-01-21,Breakfast Sandwich,Food,7.25,2.4,34,Tuesday
2025-01-21,Bagel & Cream Cheese,Food,4.5,1.3,25,Tuesday
2025-01-21,Granola Bowl,Food,6.75,1.9,14,Tuesday
2025-01-21,Bottled Water,Other,2.25,0.35,18,Tuesday
2025-01-22,Drip Coffee,Coffee,3.25,0.55,64,Wednesday
2025-01-22,Latte,Coffee,4.75,1.1,60,Wednesday
2025-01-22,Cappuccino,Coffee,4.5,1.05,44,Wednesday
2025-01-22,Cold Brew,Coffee,4.95,1.2,64,Wednesday
2025-01-22,Espresso Shot,Coffee,2.75,0.45,31,Wednesday
2025-01-22,Matcha Latte,Tea,5.25,1.6,36,Wednesday
2025-01-22,Chai Latte,Tea,4.95,1.15,21,Wednesday
2025-01-22,Iced Tea,Tea,3.5,0.5,22,Wednesday
2025-01-22,Croissant,Pastry,3.75,1.1,27,Wednesday
2025-01-22,Blueberry Muffin,Pastry,3.95,1.0,36,Wednesday
2025-01-22,Avocado Toast,Food,8.5,2.6,23,Wednesday
2025-01-22,Breakfast Sandwich,Food,7.25,2.4,33,Wednesday
2025-01-22,Bagel & Cream Cheese,Food,4.5,1.3,32,Wednesday
2025-01-22,Granola Bowl,Food,6.75,1.9,15,Wednesday
2025-01-22,Bottled Water,Other,2.25,0.35,14,Wednesday
2025-01-23,Drip Coffee,Coffee,3.25,0.55,92,Thursday
2025-01-23,Latte,Coffee,4.75,1.1,67,Thursday
2025-01-23,Cappuccino,Coffee,4.5,1.05,43,Thursday
2025-01-23,Cold Brew,Coffee,4.95,1.2,55,Thursday
2025-01-23,Espresso Shot,Coffee,2.75,0.45,31,Thursday
2025-01-23,Matcha Latte,Tea,5.25,1.6,26,Thursday
2025-01-23,Chai Latte,Tea,4.95,1.15,31,Thursday
2025-01-23,Iced Tea,Tea,3.5,0.5,26,Thursday
2025-01-23,Croissant,Pastry,3.75,1.1,33,Thursday
2025-01-23,Blueberry Muffin,Pastry,3.95,1.0,32,Thursday
2025-01-23,Avocado Toast,Food,8.5,2.6,24,Thursday
2025-01-23,Breakfast Sandwich,Food,7.25,2.4,37,Thursday
2025-01-23,Bagel & Cream Cheese,Food,4.5,1.3,29,Thursday
2025-01-23,Granola Bowl,Food,6.75,1.9,15,Thursday
2025-01-23,Bottled Water,Other,2.25,0.35,17,Thursday
2025-01-24,Drip Coffee,Coffee,3.25,0.55,118,Friday
2025-01-24,Latte,Coffee,4.75,1.1,88,Friday
2025-01-24,Cappuccino,Coffee,4.5,1.05,45,Friday
2025-01-24,Cold Brew,Coffee,4.95,1.2,58,Friday
2025-01-24,Espresso Shot,Coffee,2.75,0.45,26,Friday
2025-01-24,Matcha Latte,Tea,5.25,1.6,40,Friday
2025-01-24,Chai Latte,Tea,4.95,1.15,32,Friday
2025-01-24,Iced Tea,Tea,3.5,0.5,24,Friday
2025-01-24,Croissant,Pastry,3.75,1.1,39,Friday
2025-01-24,Blueberry Muffin,Pastry,3.95,1.0,37,Friday
2025-01-24,Avocado Toast,Food,8.5,2.6,25,Friday
2025-01-24,Breakfast Sandwich,Food,7.25,2.4,48,Friday
2025-01-24,Bagel & Cream Cheese,Food,4.5,1.3,29,Friday
2025-01-24,Granola Bowl,Food,6.75,1.9,18,Friday
2025-01-24,Bottled Water,Other,2.25,0.35,22,Friday
2025-01-25,Drip Coffee,Coffee,3.25,0.55,109,Saturday
2025-01-25,Latte,Coffee,4.75,1.1,82,Saturday
2025-01-25,Cappuccino,Coffee,4.5,1.05,46,Saturday
2025-01-25,Cold Brew,Coffee,4.95,1.2,65,Saturday
2025-01-25,Espresso Shot,Coffee,2.75,0.45,29,Saturday
2025-01-25,Matcha Latte,Tea,5.25,1.6,43,Saturday
2025-01-25,Chai Latte,Tea,4.95,1.15,36,Saturday
2025-01-25,Iced Tea,Tea,3.5,0.5,31,Saturday
2025-01-25,Croissant,Pastry,3.75,1.1,58,Saturday
2025-01-25,Blueberry Muffin,Pastry,3.95,1.0,39,Saturday
2025-01-25,Avocado Toast,Food,8.5,2.6,23,Saturday
2025-01-25,Breakfast Sandwich,Food,7.25,2.4,47,Saturday
2025-01-25,Bagel & Cream Cheese,Food,4.5,1.3,33,Saturday
2025-01-25,Granola Bowl,Food,6.75,1.9,15,Saturday
2025-01-25,Bottled Water,Other,2.25,0.35,23,Saturday
2025-01-26,Drip Coffee,Coffee,3.25,0.55,97,Sunday
2025-01-26,Latte,Coffee,4.75,1.1,73,Sunday
2025-01-26,Cappuccino,Coffee,4.5,1.05,40,Sunday
2025-01-26,Cold Brew,Coffee,4.95,1.2,55,Sunday
2025-01-26,Espresso Shot,Coffee,2.75,0.45,33,Sunday
2025-01-26,Matcha Latte,Tea,5.25,1.6,32,Sunday
2025-01-26,Chai Latte,Tea,4.95,1.15,28,Sunday
2025-01-26,Iced Tea,Tea,3.5,0.5,21,Sunday
2025-01-26,Croissant,Pastry,3.75,1.1,43,Sunday
2025-01-26,Blueberry Muffin,Pastry,3.95,1.0,30,Sunday
2025-01-26,Avocado Toast,Food,8.5,2.6,26,Sunday
2025-01-26,Breakfast Sandwich,Food,7.25,2.4,45,Sunday
2025-01-26,Bagel & Cream Cheese,Food,4.5,1.3,31,Sunday
2025-01-26,Granola Bowl,Food,6.75,1.9,18,Sunday
2025-01-26,Bottled Water,Other,2.25,0.35,18,Sunday
2025-01-27,Drip Coffee,Coffee,3.25,0.55,92,Monday
2025-01-27,Latte,Coffee,4.75,1.1,60,Monday
2025-01-27,Cappuccino,Coffee,4.5,1.05,36,Monday
2025-01-27,Cold Brew,Coffee,4.95,1.2,60,Monday
2025-01-27,Espresso Shot,Coffee,2.75,0.45,26,Monday
2025-01-27,Matcha Latte,Tea,5.25,1.6,29,Monday
2025-01-27,Chai Latte,Tea,4.95,1.15,23,Monday
2025-01-27,Iced Tea,Tea,3.5,0.5,20,Monday
2025-01-27,Croissant,Pastry,3.75,1.1,31,Monday
2025-01-27,Blueberry Muffin,Pastry,3.95,1.0,25,Monday
2025-01-27,Avocado Toast,Food,8.5,2.6,19,Monday
2025-01-27,Breakfast Sandwich,Food,7.25,2.4,37,Monday
2025-01-27,Bagel & Cream Cheese,Food,4.5,1.3,18,Monday
2025-01-27,Granola Bowl,Food,6.75,1.9,14,Monday
2025-01-27,Bottled Water,Other,2.25,0.35,17,Monday
2025-01-28,Drip Coffee,Coffee,3.25,0.55,75,Tuesday
2025-01-28,Latte,Coffee,4.75,1.1,75,Tuesday
2025-01-28,Cappuccino,Coffee,4.5,1.05,41,Tuesday
2025-01-28,Cold Brew,Coffee,4.95,1.2,48,Tuesday
2025-01-28,Espresso Shot,Coffee,2.75,0.45,22,Tuesday
